,earnings,gender,age,region,education,experience
70,34.13461685,female,63,South,16,41
71,14.42307663,male,50,South,12,32
72,14.42307663,female,59,South,12,41
73,38.46154022,male,58,South,16,36
74,13.07692337,male,43,South,12,25
75,42.73504257,male,57,South,16,35
76,21.63461494,female,55,South,16,33
77,12.82051277,female,34,South,18,10
78,13.98601437,male,58,South,16,36
79,40.4858284,female,55,South,12,37
80,6.25,female,59,South,12,41
81,8.653845787,male,26,South,13,7
82,12.98076916,female,55,South,13,36
83,13.46153831,male,28,South,14,8
84,18.75,male,32,South,13,13
85,48.07692337,male,56,South,16,34
86,39.42307663,male,42,South,12,24
87,2.5,female,47,South,12,29
88,3.205128193,female,45,South,13,26
89,11.11111069,male,41,South,12,23
90,14.42307663,female,59,South,13,40
91,10,male,62,South,12,44
92,10.57692337,female,49,South,12,31
93,23.07692337,male,45,South,12,27
94,11.53846169,male,39,South,12,21
95,9.615385056,male,32,South,12,14
96,42.73504257,male,46,South,12,28
97,27.77777863,male,42,South,13,23
98,8.520709991,female,50,South,16,28
99,7.384615421,female,28,South,13,9
100,19.23077011,male,30,South,12,12
101,9.134614944,female,27,South,12,9
102,15,male,41,South,14,21
103,9.615385056,male,49,South,6,37
104,19.23077011,female,32,South,16,10
105,23.07692337,female,31,South,16,9
106,16.02564049,female,36,South,16,14
107,5.769230843,female,56,South,12,38
108,13.46153831,male,26,South,12,8
109,16.48351669,male,53,South,13,34
110,16.48351669,female,53,South,14,33
111,10.89743614,male,49,Northeast,12,31
112,19.61538506,female,47,South,16,25
113,15.86538506,male,48,South,12,30
114,18.07692337,male,38,South,12,20
115,13.73626328,female,38,South,12,20
116,11.53846169,male,27,Northeast,13,8
117,10.09615421,male,22,Northeast,11,5
118,5.769230843,male,53,South,12,35
119,7.307692528,female,59,South,12,41
120,5.769230843,male,22,South,13,3
121,10.57692337,male,45,South,12,27
122,8.012820244,female,50,South,12,32
123,6.263736248,female,46,South,12,28
124,32.69230652,female,49,South,16,27
125,9.134614944,male,49,South,14,29
126,5.06072855,male,38,South,18,14
127,26.44230843,female,44,South,18,20
128,9.615385056,female,58,South,14,38
129,24.03846169,male,36,South,16,14
130,29.20000076,male,51,South,18,27
131,11.53846169,female,49,South,12,31
132,9.214743614,female,44,South,13,25
133,9.615385056,female,45,South,12,27
134,16.02564049,male,46,South,12,28
135,20.5128212,male,44,South,13,25
136,14.42307663,male,40,South,11,23
137,39.71571732,male,47,South,13,28
138,6.410256386,female,53,South,14,33
139,24.03846169,female,57,West,13,38
140,10.16483498,female,50,South,16,28
141,22.43589783,male,50,South,12,32
142,35.40209961,female,51,South,16,29
143,13.16239357,female,39,South,12,21
144,18.88162613,male,52,South,12,34
145,15.38461494,female,33,South,16,11
146,18.62980843,female,56,South,12,38
147,9.615385056,female,33,South,12,15
148,26.15384674,male,29,South,16,7
149,17.4418602,female,28,South,16,6
150,8.413461685,female,31,South,12,13
151,8.17307663,male,24,South,12,6
152,23.07692337,male,24,South,10,8
153,8.125,male,34,South,12,16
154,26.44230843,male,29,South,16,7
155,29.80769157,male,44,South,16,22
156,17.30769157,male,41,South,14,21
157,14.10256386,male,33,South,13,14
158,20.67307663,male,56,South,12,38
159,12.01923084,female,39,South,10,23
160,38.46154022,male,39,South,12,21
161,6.578947544,female,52,South,10,36
162,6.221719265,female,30,South,12,12
163,8.653845787,female,52,South,12,34
164,24.03846169,male,29,South,14,9
165,12.98076916,female,57,South,12,39
166,15.38461494,male,53,South,12,35
167,15.81196594,male,33,South,14,13
168,17.09401703,female,33,South,13,14
169,9.61490345,male,62,South,10,46
170,14.90384579,male,55,South,12,37
171,15,female,61,South,13,42
172,18.07692337,female,51,Midwest,16,29
173,29.61538506,male,37,South,16,15
174,25,male,45,Midwest,16,23
175,4.945055008,female,42,Midwest,14,22
176,12.01923084,female,56,Midwest,16,34
177,25.64102554,male,60,Midwest,13,41
178,19.23077011,male,41,South,12,23
179,16.82692337,female,41,South,13,22
180,3.846153736,female,54,South,11,37
181,14.10256386,female,34,South,18,10
182,12.69230747,male,53,South,13,34
183,24.03846169,female,42,South,16,20
184,12.58741283,male,63,South,18,39
185,14.42307663,female,50,South,12,32
186,13.94230747,female,27,South,16,5
187,15.38461494,female,47,South,10,31
188,9.230769157,female,27,South,13,8
189,14.42307663,female,46,South,12,28
190,30.76922989,female,64,South,12,46
191,12.98076916,female,56,South,12,38
192,8.17307663,female,38,South,11,21
193,9.391771317,female,27,South,14,7
194,14.42307663,female,41,Northeast,12,23
195,21.63461494,male,42,Northeast,12,24
196,14.42307663,female,45,Northeast,12,27
197,10.53846169,male,27,Northeast,13,8
198,9.134614944,male,40,Northeast,12,22
199,18.02884674,male,37,Northeast,16,15
200,38.46154022,male,29,South,18,5
201,11.45833302,male,56,South,13,37
202,44.48380661,female,37,South,19,12
203,36.71328735,male,57,South,13,38
204,38.46154022,male,35,South,16,13
205,45.19230652,male,56,South,14,36
206,19.23077011,male,29,South,18,5
207,9.615385056,male,53,South,12,35
208,15.38461494,female,53,South,12,35
209,4.578754425,female,27,South,11,10
210,9.79020977,male,25,South,10,9
211,10.81730747,female,29,South,11,12
212,21.2550602,male,27,Northeast,14,7
213,33.65384674,male,48,Northeast,20,22
214,42.30769348,male,48,Northeast,18,24
215,21.15384674,female,59,Northeast,12,41
216,13.46153831,male,63,Northeast,8,49
217,11.85897446,female,54,Northeast,12,36
218,40.86538315,male,46,Northeast,12,28
219,5.769230843,male,29,Northeast,12,11
220,5.769230843,female,28,Northeast,13,9
221,48.07692337,male,63,Northeast,16,41
222,7.211538315,male,22,Northeast,12,4
223,43.26922989,male,45,Northeast,19,20
224,55.28845978,female,40,Northeast,19,15
225,48.07692337,male,33,Northeast,16,11
226,28.84615326,female,27,Northeast,16,5
227,8,female,42,Northeast,12,24
228,26.44230843,male,61,Northeast,18,37
229,27.88461494,female,60,Northeast,14,40
230,13.94230747,female,35,Northeast,13,16
231,20.19230843,male,41,Northeast,12,23
232,9.615385056,female,40,Northeast,12,22
233,36.87163544,female,46,Northeast,16,24
234,24.51922989,male,42,Northeast,6,30
235,14.42307663,male,49,Northeast,12,31
236,9.615385056,male,25,Northeast,12,7
237,14.52991486,female,24,Northeast,12,6
238,20.67307663,female,58,Northeast,12,40
239,21.63461494,female,38,Northeast,16,16
240,20.67307663,male,37,Northeast,14,17
241,20.19230843,male,64,Northeast,18,40
242,28.84615326,male,48,Northeast,12,30
243,12.59615421,female,26,Northeast,16,4
244,11.53846169,male,52,Northeast,13,33
245,19.23077011,male,41,Midwest,14,21
246,13.5,male,29,Midwest,12,11
247,6.25,female,64,Midwest,13,45
248,14.42307663,female,33,Midwest,16,11
249,17.30769157,female,43,Midwest,13,24
250,47.0836525,male,45,Midwest,18,21
251,37.5,male,63,Midwest,13,44
252,38.46154022,male,46,Midwest,16,24
253,26.375,female,27,Midwest,13,8
254,38.46154022,male,36,Midwest,16,14
255,25.48077011,male,53,Midwest,13,34
256,8.653845787,female,34,Midwest,13,15
257,43.26922989,male,53,Midwest,12,35
258,16.82692337,female,48,Midwest,12,30
259,21.15384674,male,33,Midwest,12,15
260,42.73504257,female,30,Midwest,19,5
261,23.07692337,male,31,Midwest,16,9
262,42.30769348,male,51,Midwest,16,29
263,26.44230843,female,51,Midwest,13,32
264,26.44230843,male,53,Midwest,13,34
265,11.53846169,female,40,Midwest,18,16
266,2.342657328,male,32,Midwest,16,10
267,12.98076916,male,30,Midwest,16,8
268,11.77884579,female,23,Midwest,14,3
269,14.90384579,male,49,Midwest,12,31
270,30.625,female,56,Midwest,13,37
271,45.67307663,male,43,Midwest,18,19
272,11.05769253,male,21,Midwest,12,3
273,19.23077011,female,40,Midwest,14,20
274,19.23077011,male,43,Midwest,12,25
275,4.182692528,male,33,Midwest,12,15
276,12.29874802,female,36,Northeast,16,14
277,12.65182209,female,58,Northeast,11,41
278,14.17004013,male,57,Northeast,10,41
279,16.97115326,male,32,Northeast,13,13
280,19.23077011,male,58,South,12,40
281,21.63461494,female,52,South,12,34
282,10,male,60,Northeast,12,42
283,28.84615326,male,50,Northeast,16,28
284,12.98076916,female,54,Northeast,12,36
285,13.80629349,female,52,Northeast,14,32
286,43.07692337,male,52,Northeast,18,28
287,14.42307663,female,50,Northeast,12,32
288,19.23077011,male,41,South,13,22
289,6.04395628,female,41,South,13,22
290,42.30769348,male,60,Northeast,16,38
291,35.47008514,male,30,Northeast,13,11
292,15.68825912,female,26,Northeast,13,7
293,23.07692337,male,46,Northeast,12,28
294,14.42307663,male,56,Northeast,13,37
295,16.82692337,female,57,Northeast,16,35
296,15.38461494,female,27,Northeast,18,3
297,18.75,male,30,Northeast,16,8
298,9.615385056,male,64,Northeast,8,50
299,8.17307663,female,57,Northeast,12,39
300,13.94230747,male,26,Northeast,12,8
301,10.32051277,male,49,Northeast,13,30
302,8.012820244,male,36,Northeast,16,14
303,46.70329666,female,35,Northeast,16,13
304,40.9919014,male,59,Northeast,16,37
305,38.94230652,female,58,Northeast,18,34
306,36.05769348,male,43,Northeast,11,26
307,19.23077011,female,37,Northeast,12,19
308,36.32478714,female,58,Northeast,16,36
309,14.42307663,male,32,Northeast,16,10
310,7.897603512,female,58,Northeast,13,39
311,25.61717415,female,55,Northeast,18,31
312,51.44230652,female,40,Northeast,18,16
313,19.23077011,male,36,Northeast,8,22
314,9.615385056,male,37,Northeast,8,23
315,14.42307663,male,46,Northeast,10,30
316,14.42307663,female,37,Northeast,10,21
317,16.92307663,male,35,Northeast,12,17
318,60.57692337,female,46,Northeast,16,24
319,34.61538315,female,43,Northeast,13,24
320,17.40384674,male,27,Northeast,13,8
321,24.03846169,female,30,Northeast,16,8
322,9.615385056,male,33,Northeast,11,16
323,29.72027969,female,58,Northeast,18,34
324,19.23077011,female,39,Northeast,13,20
325,8.653845787,female,61,Northeast,8,47
326,5.128205299,female,47,Northeast,12,29
327,16.82692337,male,48,Northeast,13,29
328,10.81730747,female,49,Northeast,13,30
329,7.211538315,male,37,Northeast,12,19
330,20.38461494,male,37,Northeast,14,17
331,22.59615326,female,35,Northeast,13,16
332,28.84615326,male,50,Northeast,14,30
333,17.30769157,male,50,Northeast,12,32
334,20.67307663,male,41,Northeast,13,22
335,31.65064049,male,49,Northeast,13,30
336,12.01923084,female,23,Northeast,16,1
337,14.9572649,female,39,Northeast,14,19
338,15.76923084,male,61,Northeast,12,43
339,18.83012772,male,49,Northeast,13,30
340,17.78846169,female,50,Northeast,16,28
341,4.807692528,female,60,Northeast,14,40
342,15,female,29,Northeast,14,9
343,52.13675308,female,54,Northeast,16,32
344,7.5,female,50,Northeast,6,38
345,13.36538506,male,40,Northeast,14,20
346,31.25,male,41,Northeast,12,23
347,12.01923084,female,53,Northeast,12,35
348,19.23077011,male,45,Northeast,11,28
349,9.615385056,male,26,Northeast,10,10
350,27.47252655,female,60,Northeast,16,38
351,10.57692337,female,61,Northeast,18,37
352,12.01923084,female,54,Northeast,12,36
353,25.98752594,male,57,Northeast,16,35
354,16.82692337,male,40,Northeast,16,18
355,6.923077106,female,39,Northeast,16,17
356,19.23077011,female,39,South,18,15
357,31.53846169,male,57,Northeast,16,35
358,17.71255112,female,26,Northeast,16,4
359,11.53846169,male,45,Northeast,12,27
360,8.653845787,male,24,Northeast,12,6
361,22.59615326,female,47,Northeast,14,27
362,22.43589783,male,58,Northeast,13,39
363,15.86538506,male,49,Northeast,16,27
364,12.17355728,female,43,Northeast,12,25
365,23.07692337,female,57,Northeast,14,37
366,16.66666603,male,49,Northeast,12,31
367,20.19230843,female,49,Northeast,12,31
368,29.9145298,male,56,Northeast,18,32
369,14.35445786,male,41,Northeast,12,23
370,2.5,female,38,Northeast,12,20
371,18.46153831,male,40,Northeast,12,22
372,13.22019196,female,27,Northeast,14,7
373,42.78845978,male,27,Northeast,16,5
374,16.82692337,female,58,Northeast,12,40
375,44.02833939,male,48,Northeast,12,30
376,40.86538315,male,59,Northeast,18,35
377,16.66666603,female,41,Northeast,18,17
378,46.15384674,male,54,Northeast,14,34
379,33.65384674,female,53,Northeast,18,29
380,24.03846169,male,26,Northeast,18,2
381,42.30769348,female,26,Northeast,19,1
382,15.38461494,female,39,Northeast,12,21
383,20.86049461,male,38,Northeast,13,19
384,13.22115421,male,52,Northeast,16,30
385,17.03296661,male,41,Northeast,14,21
386,11.05769253,female,46,Northeast,14,26
387,15,male,26,Northeast,16,4
388,7.692307472,male,32,Northeast,12,14
389,38.46154022,male,61,Northeast,13,42
390,15.88628769,male,43,Northeast,12,25
391,9.855769157,female,46,Northeast,12,28
392,27.27272797,male,54,Northeast,12,36
393,28.84615326,female,27,Northeast,16,5
394,28.84615326,male,38,Northeast,12,20
395,25.96153831,male,51,Northeast,12,33
396,8.791209221,male,29,Northeast,12,11
397,11.05769253,male,24,Northeast,10,8
398,15.86538506,female,25,Northeast,12,7
399,16.82692337,male,43,Northeast,12,25
400,8.547008514,female,61,Northeast,16,39
401,9.615385056,female,56,Northeast,12,38
402,3.5,male,22,Northeast,12,4
403,34.13461685,female,60,Northeast,12,42
404,18.49112511,male,62,Northeast,12,44
405,10.57692337,male,57,Northeast,13,38
406,9.230769157,female,41,Northeast,12,23
407,8.17307663,male,25,Northeast,12,7
408,9.615385056,female,55,Northeast,10,39
409,25.78671265,male,62,Northeast,16,40
410,17.30769157,male,34,Northeast,16,12
411,18.02884674,female,34,Northeast,16,12
412,11.53846169,male,33,Northeast,16,11
413,19.23077011,female,44,West,20,18
414,31.46853065,male,45,West,20,19
415,47.00897598,male,57,Northeast,16,35
416,28.84663391,female,43,Northeast,18,19
417,44.71154022,female,58,Northeast,18,34
418,38.11188889,male,52,Northeast,16,30
419,12.82051277,female,51,Northeast,16,29
420,45.67307663,male,39,South,12,21
421,27.40384674,male,36,South,12,18
422,22.59615326,female,40,South,12,22
423,30.38461494,male,31,South,14,11
424,40.86538315,male,57,South,16,35
425,10.57692337,female,54,South,14,34
426,10.76923084,male,54,South,12,36
427,6.730769157,female,62,South,10,46
428,19.87179565,male,44,South,16,22
429,24.03846169,female,45,South,12,27
430,20.67307663,female,54,South,13,35
431,43.02980804,male,53,South,13,34
432,17.25833321,female,42,South,13,23
433,16.34615326,female,32,South,13,13
434,29.75961494,male,57,South,16,35
435,5.325443745,male,21,South,12,3
436,7.692307472,male,29,South,13,10
437,14.42307663,male,64,South,12,46
438,20.19230843,female,38,South,14,18
439,10.48951054,male,38,South,12,20
440,18.46153831,male,38,South,12,20
441,6.009615421,male,22,Midwest,12,4
442,13.54166698,female,36,South,12,18
443,28.84615326,male,33,South,12,15
444,11.83431911,male,59,South,12,41
445,15.38461494,female,54,South,16,32
446,12.01923084,male,40,South,14,20
447,17.78846169,female,36,South,16,14
448,11.53846169,male,30,South,12,12
449,9.134614944,female,27,South,12,9
450,43.26922989,female,47,South,16,25
451,28.84615326,male,29,South,13,10
452,7.211538315,female,46,South,12,28
453,30,male,40,Northeast,16,18
454,22.11538506,male,49,Midwest,12,31
455,7.889546394,female,41,Midwest,12,23
456,13.46153831,female,32,Midwest,12,14
457,15.86538506,male,31,Midwest,16,9
458,6.593406677,female,33,Midwest,12,15
459,15.38461494,female,53,Midwest,18,29
460,13.10817337,female,40,Midwest,14,20
461,7.451922894,female,59,Midwest,13,40
462,21.88317299,female,42,Midwest,18,18
463,19,male,42,Midwest,12,24
464,21.63461494,female,57,Midwest,18,33
465,21.63461494,male,56,Midwest,18,32
466,5.769230843,male,35,Midwest,16,13
467,38.75,male,49,Midwest,20,23
468,2.740384579,female,31,Midwest,18,7
469,38.46154022,male,45,Midwest,16,23
470,36.98225021,male,53,Midwest,12,35
471,19.23077011,male,49,Midwest,14,29
472,14.61538506,male,28,West,16,6
473,12.01923084,female,52,Midwest,14,32
474,12.01923084,female,40,Midwest,12,22
475,7.324999809,female,45,Midwest,12,27
476,11.875,male,52,Midwest,13,33
477,23.75,female,37,Midwest,16,15
478,16.82692337,female,53,Midwest,13,34
479,25,male,32,Midwest,12,14
480,23.71111107,male,46,Midwest,13,27
481,17.30769157,male,61,Midwest,12,43
482,34.13461685,female,26,Midwest,18,2
483,13.46153831,male,37,Midwest,14,17
484,18.91025734,male,48,Midwest,12,30
485,9.615385056,male,22,Midwest,12,4
486,12.01923084,female,51,Midwest,12,33
487,11.23384571,male,26,Midwest,12,8
488,12.98076916,female,35,Midwest,12,17
489,10.09615421,male,32,Midwest,16,10
490,16.19433212,female,58,Midwest,12,40
491,2.136752129,male,59,Midwest,12,41
492,6.410256386,female,50,Midwest,14,30
493,9.340659142,male,54,Midwest,12,36
494,13.30128193,male,63,Midwest,14,43
495,8.125,male,31,Midwest,9,16
496,31.15384674,female,50,Northeast,18,26
497,9.615385056,female,62,Northeast,13,43
498,40.86538315,male,39,Northeast,16,17
499,25.64102554,female,50,West,16,28
500,24.03846169,male,55,Northeast,13,36
501,15.38461494,male,49,Northeast,12,31
502,11.53846169,female,36,Northeast,12,18
503,12.01923084,male,38,Northeast,12,20
504,23.07692337,male,57,Northeast,12,39
505,12.5,male,28,Northeast,9,13
506,12.5,male,34,Northeast,16,12
507,5.769230843,female,38,Northeast,12,20
508,38.46154022,male,48,Northeast,16,26
509,20.16129112,male,38,Northeast,12,20
510,25,female,54,Northeast,16,32
511,22.30769157,male,58,Northeast,18,34
512,11.11111069,female,28,Midwest,16,6
513,19.18367386,male,29,Midwest,14,9
514,13.46153831,female,42,Northeast,16,20
515,16.53846169,male,45,Northeast,16,23
516,6.926113129,female,55,Northeast,12,37
517,5.939903736,male,56,Northeast,12,38
518,4.895104885,female,24,Northeast,12,6
519,10.737607,female,43,Northeast,16,21
520,16.82692337,male,30,Northeast,12,12
521,40.38461685,female,49,Northeast,18,25
522,31.73077011,female,31,Northeast,16,9
523,24.29149818,female,29,Northeast,16,7
524,23.07692337,male,47,Northeast,13,28
525,11.63967609,female,46,Northeast,13,27
526,12.98076916,male,53,Northeast,12,35
527,15.18218613,male,58,Northeast,14,38
528,10.57692337,female,64,Northeast,12,46
529,7.211538315,male,41,South,12,23
530,14.42307663,male,37,Northeast,14,17
531,8.79807663,male,33,Northeast,12,15
532,38.46154022,female,40,Northeast,16,18
533,7.10059166,male,35,Northeast,12,17
534,13.94230747,female,32,Northeast,12,14
535,29.05982971,male,59,Northeast,16,37
536,29.80769157,female,57,Northeast,14,37
537,10.2564106,female,30,Northeast,16,8
538,18.46153831,male,42,Northeast,12,24
539,17.39316177,male,21,Northeast,12,3
540,16.82692337,female,26,Northeast,14,6
541,12.5,female,24,Northeast,12,6
542,7.5,female,37,Northeast,12,19
543,24.03846169,male,52,Northeast,12,34
544,16.82692337,female,51,Northeast,12,33
545,11.18067932,male,31,Northeast,14,11
546,6.25,female,34,Northeast,12,16
547,28.84615326,male,43,Northeast,12,25
548,24.03846169,female,40,Northeast,14,20
549,11.05769253,male,34,Northeast,14,14
550,11.44444466,male,52,Northeast,12,34
551,8.653845787,female,53,Northeast,12,35
552,7.8125,male,28,Northeast,14,8
553,31.25,female,60,Northeast,12,42
554,23.93162346,male,47,Northeast,14,27
555,7.050000191,male,38,Northeast,9,23
556,13.46153831,female,56,Northeast,12,38
557,27.01465225,male,42,Northeast,14,22
558,14.17451954,female,50,Northeast,16,28
559,15.86538506,male,62,Northeast,10,46
560,12.82051277,male,50,Northeast,12,32
561,21.36752129,male,35,Northeast,12,17
562,24.72527504,female,52,Northeast,14,32
563,22.18934822,female,58,Northeast,16,36
564,11.17500019,female,58,Northeast,12,40
565,7.211538315,male,44,Northeast,9,29
566,4.326922894,female,39,Northeast,9,24
567,16.34615326,male,37,Northeast,13,18
568,14.42307663,female,25,Northeast,16,3
569,5.219780445,female,24,Northeast,16,2
570,17.58241844,female,35,Northeast,13,16
571,31.75230789,female,61,Midwest,20,35
572,10.1214571,female,43,Northeast,14,23
573,4.230769157,female,47,Midwest,16,25
574,6.730769157,female,33,South,16,11
575,36.05721283,male,47,South,10,31
576,31.25,male,40,South,14,20
577,15.76923084,male,31,South,12,13
578,16.63201714,female,37,South,12,19
579,18.26922989,male,55,South,14,35
580,8.653845787,female,56,South,12,38
581,15.38461494,male,60,South,12,42
582,24.03846169,male,49,South,12,31
583,20.76922989,male,52,South,16,30
584,15.59251595,female,47,South,16,25
585,11.53846169,male,35,South,12,17
586,8.974358559,female,33,South,14,13
587,16.23931694,male,37,South,14,17
588,11.53846169,male,39,South,16,17
589,9.615385056,female,41,South,12,23
590,17.9765892,male,25,South,12,7
591,6,male,46,South,12,28
592,13.46153831,female,31,South,13,12
593,16.5,male,43,South,13,24
594,14.42307663,male,30,South,12,12
595,6.593406677,male,23,South,12,5
596,5.5,male,25,South,12,7
597,18.26922989,female,62,South,12,44
598,12.01923084,male,25,South,12,7
599,48.07692337,male,46,South,13,27
600,21.739645,male,36,South,12,18
601,7.5,female,36,South,10,20
602,18.75,male,56,South,13,37
603,14.42307663,male,55,South,14,35
604,22.72727203,male,64,South,13,45
605,21.15384674,female,51,South,16,29
606,10,male,46,South,11,29
607,25,female,47,Northeast,18,23
608,20.57500076,male,34,Northeast,12,16
609,18.75,female,32,Northeast,12,14
610,38.46154022,male,38,Northeast,16,16
611,10.57692337,female,23,Northeast,12,5
612,12.98076916,male,30,Northeast,13,11
613,10.1214571,female,29,Northeast,12,11
614,16.82692337,male,50,Northeast,12,32
615,7.692307472,female,44,Northeast,12,26
616,3.365384579,female,40,Northeast,14,20
617,14.42307663,male,45,Northeast,12,27
618,8.25,male,37,Northeast,12,19
619,14.78022003,female,49,Northeast,16,27
620,18.54395676,male,50,Northeast,16,28
621,16.34615326,female,61,South,12,43
622,5.341880322,male,48,South,18,24
623,22.34749603,female,47,South,18,23
624,40.86538315,male,44,South,16,22
625,45.67307663,female,38,South,16,16
626,26.44230843,female,51,South,11,34
627,15.38461494,male,48,South,12,30
628,11.05769253,female,49,South,12,31
629,19.23077011,female,35,South,13,16
630,19.23077011,male,40,South,12,22
631,45.67307663,male,59,South,12,41
632,16.15384674,male,40,South,12,22
633,26.92307663,male,38,South,16,16
634,13.31360912,male,38,South,12,20
635,12.83653831,female,43,South,12,25
636,59.13461685,male,38,South,13,19
637,23.07692337,male,47,South,13,28
638,19.23077011,male,28,South,12,10
639,48.07692337,female,28,South,16,6
640,8,female,42,South,13,23
641,2.884615421,male,28,South,12,10
642,9.397115707,female,28,South,10,12
643,20.2429142,male,40,South,12,22
644,12.14574909,female,40,South,12,22
645,9.783654213,female,38,South,12,20
646,9.482211113,female,46,South,12,28
647,9.615385056,male,33,South,12,15
648,11.96581173,male,31,South,16,9
649,21.63461494,female,36,Northeast,14,16
650,17.30769157,male,34,Northeast,13,15
651,28.84615326,female,38,Northeast,16,16
652,20.67307663,female,41,Northeast,12,23
653,31.43491173,male,61,Northeast,13,42
654,5.769230843,female,53,Northeast,11,36
655,21.63461494,female,40,Northeast,14,20
656,14.70588207,male,47,Northeast,12,29
657,11.94278812,female,58,Northeast,10,42
658,14.42307663,female,37,Northeast,13,18
659,18.07692337,male,39,Northeast,16,17
660,46.15384674,male,38,Northeast,19,13
661,24.51922989,female,45,Northeast,18,21
662,17.06730843,male,49,Northeast,12,31
663,28.84615326,female,41,Northeast,14,21
664,40.86538315,male,40,Northeast,14,20
665,44.23077011,male,40,Northeast,18,16
666,16.82692337,female,60,Northeast,12,42
667,22.72727203,male,60,Northeast,12,42
668,42.73504257,female,54,Northeast,16,32
669,21.63461494,male,49,Northeast,12,31
670,17.30769157,female,39,Northeast,12,21
671,10.57692337,female,40,Midwest,14,20
672,8.461538315,male,41,Northeast,16,19
673,33.33333206,female,44,Northeast,16,22
674,20.67307663,male,36,Northeast,16,14
675,19.23077011,female,31,Northeast,14,11
676,19.23077011,male,32,Northeast,12,14
677,14.42307663,female,34,Northeast,13,15
678,14.42307663,female,27,Northeast,16,5
679,9.615385056,male,40,Northeast,12,22
680,38.46154022,male,50,Northeast,16,28
681,26.92307663,male,56,Northeast,13,37
682,13.73626328,female,54,Northeast,13,35
683,12.01923084,male,48,Northeast,18,24
684,38.46154022,female,48,Northeast,19,23
685,15.38461494,female,27,Northeast,18,3
686,12,male,45,Northeast,12,27
687,27.88461494,female,44,South,16,22
688,14.79289913,male,49,South,13,30
689,33.65384674,male,23,South,12,5
690,17.30769157,male,29,South,13,10
691,11.25,female,23,South,12,5
692,26.92307663,male,51,South,13,32
693,17.30769157,female,44,South,14,24
694,12.01923084,male,49,South,11,32
695,17.30769157,female,60,South,12,42
696,31.25,male,33,South,13,14
697,15.38461494,male,28,South,12,10
698,19.23077011,male,57,South,12,39
699,15.68627453,male,28,Midwest,16,6
700,2.884615421,female,55,South,14,35
701,18.22916603,male,39,South,8,25
702,3.205128193,male,52,Northeast,12,34
703,15.38461494,female,40,South,13,21
704,24.5,male,40,South,12,22
705,9.615385056,male,31,South,12,13
706,5.197504997,female,45,South,12,27
707,7.692307472,female,42,South,12,24
708,20.19230843,male,46,South,12,28
709,29.069767,male,46,South,16,24
710,20.19230843,male,47,South,16,25
711,17.67151833,female,45,South,14,25
712,26.92307663,female,44,South,18,20
713,20.7489872,female,33,Northeast,12,15
714,24.29149818,male,31,Northeast,12,13
